path,category,flag,width,height,mode,file_size_kb
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1715251370652.jpg,HEALTHY,low_green:0.038,1000,750,RGB,82.0
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1715251406598.jpg,HEALTHY,low_green:0.038,1000,750,RGB,82.0
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1718440406277.jpg,HEALTHY,low_green:0.045,1000,750,RGB,155.8
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1718443092081.jpg,HEALTHY,low_green:0.043,1000,750,RGB,112.4
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1718443191406.jpg,HEALTHY,low_green:0.033,1000,750,RGB,80.3
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1718797258665.jpg,HEALTHY,low_green:0.037,1000,750,RGB,75.6
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1718800197501.jpg,HEALTHY,low_green:0.048,1000,750,RGB,174.3
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1718800157803.jpg,HEALTHY,low_green:0.048,1000,750,RGB,174.3
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719043697727.jpg,HEALTHY,low_green:0.039,750,1000,RGB,131.9
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719305306925.jpg,HEALTHY,low_green:0.048,750,1000,RGB,126.4
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719305394881.jpg,HEALTHY,low_green:0.048,750,1000,RGB,126.4
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719305434844.jpg,HEALTHY,low_green:0.048,750,1000,RGB,126.4
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719305461837.jpg,HEALTHY,low_green:0.037,750,1000,RGB,83.0
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719305490680.jpg,HEALTHY,low_green:0.046,750,1000,RGB,101.0
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719305583240.jpg,HEALTHY,low_green:0.046,750,1000,RGB,101.0
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719305932526.jpg,HEALTHY,low_green:0.037,750,1000,RGB,83.0
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719305899987.jpg,HEALTHY,low_green:0.048,750,1000,RGB,126.4
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719305851722.jpg,HEALTHY,low_green:0.048,750,1000,RGB,126.4
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719305957472.jpg,HEALTHY,low_green:0.046,750,1000,RGB,101.0
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719395438557.jpg,HEALTHY,low_green:0.042,750,1000,RGB,120.5
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719655450486.jpg,HEALTHY,low_green:0.015,750,1000,RGB,100.0
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719655555292.jpg,HEALTHY,low_green:0.022,750,1000,RGB,88.5
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719655676162.jpg,HEALTHY,low_green:0.021,750,1000,RGB,105.9
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719655706877.jpg,HEALTHY,low_green:0.021,750,1000,RGB,105.9
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719655804401.jpg,HEALTHY,low_green:0.037,750,1000,RGB,105.8
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719655835782.jpg,HEALTHY,low_green:0.030,750,1000,RGB,119.8
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719823283363.jpg,HEALTHY,low_green:0.044,750,1000,RGB,110.1
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719823321556.jpg,HEALTHY,low_green:0.044,750,1000,RGB,110.1
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719823393518.jpg,HEALTHY,low_green:0.043,750,1000,RGB,93.1
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719823445302.jpg,HEALTHY,low_green:0.050,750,1000,RGB,102.7
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719823544426.jpg,HEALTHY,low_green:0.050,750,1000,RGB,102.7
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719824895446.jpg,HEALTHY,low_green:0.030,750,1000,RGB,137.1
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719826208579.jpg,HEALTHY,low_green:0.049,750,1000,RGB,115.1
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719826229784.jpg,HEALTHY,low_green:0.049,750,1000,RGB,115.1
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719917568600.jpg,HEALTHY,low_green:0.046,750,1000,RGB,107.4
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719917486313.jpg,HEALTHY,low_green:0.046,750,1000,RGB,107.4
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719917785502.jpg,HEALTHY,low_green:0.034,750,1000,RGB,91.5
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719919041148.jpg,HEALTHY,low_green:0.044,1000,750,RGB,78.5
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719919717904.jpg,HEALTHY,low_green:0.044,1000,750,RGB,78.5
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719923659614.jpg,HEALTHY,low_green:0.044,750,1000,RGB,94.5
