filename,category,status,reason,prompt_strategy,prompt_mode,yolo_box,coverage,mean_conf
HEALTHY_1711617476395.jpg,HEALTHY,passed,ok,yolo_combined_centroid,yolo,"218,92,629,1000",0.4093,0.9778
HEALTHY_1711617600384.jpg,HEALTHY,passed,ok,yolo_combined_centroid,yolo,"79,142,554,1000",0.446,0.9814
HEALTHY_1711617703198.jpg,HEALTHY,passed,ok,yolo_combined_centroid,yolo,"102,0,573,998",0.5525,0.9837
HEALTHY_1711617708056.jpg,HEALTHY,passed,ok,yolo_combined_centroid,yolo,"109,0,706,1000",0.683,0.9776
HEALTHY_1711618083686.jpg,HEALTHY,passed,ok,yolo_combined_centroid,yolo,"1,377,750,995",0.3571,0.8391
HEALTHY_1711618137837.jpg,HEALTHY,passed,ok,yolo_combined_centroid,yolo,"152,4,682,993",0.5456,0.9889
HEALTHY_1711618283976.jpg,HEALTHY,passed,ok,yolo_combined_centroid,yolo,"0,0,458,1000",0.5646,0.9863
HEALTHY_1711618475249.jpg,HEALTHY,passed,ok,yolo_combined_centroid,yolo,"109,3,656,999",0.6174,0.9829
HEALTHY_1711618553183.jpg,HEALTHY,passed,ok,yolo_combined_centroid,yolo,"2,119,998,590",0.4729,0.994
HEALTHY_1711618622161.jpg,HEALTHY,passed,ok,yolo_combined_centroid,yolo,"105,1,530,997",0.5069,0.985
HEALTHY_1711618730400.jpg,HEALTHY,passed,ok,yolo_combined_centroid,yolo,"133,5,589,997",0.5038,0.9884
HEALTHY_1711619039929.jpg,HEALTHY,passed,ok,yolo_combined_centroid,yolo,"70,3,667,999",0.4631,0.9901
HEALTHY_1711619271922.jpg,HEALTHY,passed,ok,yolo_combined_centroid,yolo,"3,46,1000,745",0.7247,0.9684
HEALTHY_1711619333151.jpg,HEALTHY,passed,ok,yolo_combined_centroid,yolo,"166,285,520,1000",0.2316,0.9839
HEALTHY_1711619422802.jpg,HEALTHY,passed,ok,yolo_combined_centroid,yolo,"65,133,690,999",0.5938,0.9897
HEALTHY_1711619570486.jpg,HEALTHY,passed,ok,yolo_combined_centroid,yolo,"106,24,700,996",0.4919,0.9903
HEALTHY_1711619743793.jpg,HEALTHY,passed,ok,yolo_combined_centroid,yolo,"125,2,696,1000",0.6401,0.9755
HEALTHY_1711620043731.jpg,HEALTHY,passed,ok,yolo_combined_centroid,yolo,"108,0,750,999",0.612,0.9931
HEALTHY_1711620320190.jpg,HEALTHY,passed,ok,yolo_combined_centroid,yolo,"36,1,633,1000",0.6271,0.9888
