dest_filename,source_path,category,split,tier
HEALTHY_1713001702899.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1713001702899.jpg,HEALTHY,train,1
HEALTHY_1712053942399.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1712053942399.jpg,HEALTHY,train,1
HEALTHY_1720006065781.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1720006065781.jpg,HEALTHY,train,1
HEALTHY_1719057773063.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719057773063.jpg,HEALTHY,train,1
HEALTHY_1718360782447.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1718360782447.jpg,HEALTHY,train,1
HEALTHY_1716030977236.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1716030977236.jpg,HEALTHY,train,1
HEALTHY_1712922023568.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1712922023568.jpg,HEALTHY,train,1
HEALTHY_1712828559619.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1712828559619.jpg,HEALTHY,train,1
HEALTHY_1724239606943.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1724239606943.jpg,HEALTHY,train,1
HEALTHY_1712067468620.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1712067468620.jpg,HEALTHY,val,1
HEALTHY_1712064228408.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1712064228408.jpg,HEALTHY,train,1
HEALTHY_1712838292247.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1712838292247.jpg,HEALTHY,train,1
HEALTHY_1718277171893.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1718277171893.jpg,HEALTHY,val,1
HEALTHY_1718697805655.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1718697805655.jpg,HEALTHY,train,1
HEALTHY_1712058315413.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1712058315413.jpg,HEALTHY,train,1
HEALTHY_1718007878754.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1718007878754.jpg,HEALTHY,train,1
HEALTHY_1724160898419.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1724160898419.jpg,HEALTHY,train,1
HEALTHY_1718285938715.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1718285938715.jpg,HEALTHY,train,1
HEALTHY_HEALTHY_1153.JPEG,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/HEALTHY_1153.JPEG,HEALTHY,train,1
HEALTHY_1720098165458.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1720098165458.jpg,HEALTHY,train,1
HEALTHY_1711625198885.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711625198885.jpg,HEALTHY,train,1
HEALTHY_1716996957966.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1716996957966.jpg,HEALTHY,val,1
HEALTHY_1724243682863.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1724243682863.jpg,HEALTHY,train,1
HEALTHY_1721907480770.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1721907480770.jpg,HEALTHY,val,1
HEALTHY_1720095047994.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1720095047994.jpg,HEALTHY,train,1
HEALTHY_1716973625612.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1716973625612.jpg,HEALTHY,train,1
HEALTHY_1718196121833.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1718196121833.jpg,HEALTHY,train,1
HEALTHY_1721893440453.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1721893440453.jpg,HEALTHY,train,1
HEALTHY_1712921462843.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1712921462843.jpg,HEALTHY,train,1
HEALTHY_1712835999173.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1712835999173.jpg,HEALTHY,train,1
HEALTHY_1722685239073.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1722685239073.jpg,HEALTHY,train,1
HEALTHY_1712911746074.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1712911746074.jpg,HEALTHY,train,1
HEALTHY_1722341606033.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1722341606033.jpg,HEALTHY,train,1
HEALTHY_1721989870961.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1721989870961.jpg,HEALTHY,train,1
HEALTHY_1719582047104.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1719582047104.jpg,HEALTHY,train,1
HEALTHY_1712150620007.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1712150620007.jpg,HEALTHY,train,1
HEALTHY_HEALTHY_12456 (2327).JPEG,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/HEALTHY_12456 (2327).JPEG,HEALTHY,train,1
HEALTHY_1713520188553.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1713520188553.jpg,HEALTHY,val,1
HEALTHY_1722677810520.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1722677810520.jpg,HEALTHY,train,1
HEALTHY_1712743791243.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1712743791243.jpg,HEALTHY,train,1
HEALTHY_1721120062749.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1721120062749.jpg,HEALTHY,train,1
HEALTHY_1722403382799.jpg,/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1722403382799.jpg,HEALTHY,train,1
